Nome: JOAO PESSOA
Codigo Estacao: A320
Latitude: -7.16527777
Longitude: -34.81555555
Altitude: 33.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;9;36,4;1007,54664;28,19664;2,3;1,114516;
2020-02-29;17;123,8;1007,347701;28,196552;2,3;1,053161;
2020-03-31;18;279,6;1006,822581;27,664247;2,8;1,01129;
2020-04-30;19;208,6;1007,640805;27,40431;2,6;,939799;
2020-05-31;12;null;null;null;3,8;null;
2020-06-30;18;null;null;25,760334;2,8;null;
2020-07-31;8;null;null;null;2,5;null;
2020-08-31;13;null;null;24,916023;3;null;
2020-09-30;6;null;null;null;2,4;null;
2020-10-31;3;null;null;null;null;null;
2020-11-30;2;null;null;null;null;null;
2020-12-31;6;null;null;27,48776;2,4;null;

