Nome: PAO DE ACUCAR
Codigo Estacao: A323
Latitude: -9.74916666
Longitude: -37.43083332
Altitude: 20.83
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;1;33;1009,528448;29,966369;6,2;2,078346;
2020-02-29;3;null;1009,650745;30,059971;8,4;2,107368;
2020-03-31;12;null;1009,36616;29,403125;6,1;1,483241;
2020-04-30;9;null;1010,778816;28,345761;5,2;,920274;
2020-05-31;6;null;1012,493033;null;4,9;,622796;
2020-06-30;null;null;1013,788805;null;5,3;,931767;
2020-07-31;null;null;null;null;5,6;null;
2020-08-31;null;null;null;null;6,5;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

