Nome: TAUA
Codigo Estacao: A324
Latitude: -6.01749999
Longitude: -40.28138888
Altitude: 410.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;174,4;965,207895;26,818683;6,9;1,777151;
2020-02-29;21;114,6;965,538218;25,478879;5,8;1,40704;
2020-03-31;23;233,6;965,444355;25,151479;7,6;1,338038;
2020-04-30;18;59,2;966,029444;25,459583;6,1;1,5275;
2020-05-31;11;84,4;967,08078;25,079032;6,2;1,74879;
2020-06-30;5;6,6;967,424444;24,894167;6,6;2,323889;
2020-07-31;0;0;967,213844;26,01707;7,8;2,715188;
2020-08-31;null;null;967,300181;26,843841;7,9;3,052174;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

