Nome: PALMEIRA DOS INDIOS
Codigo Estacao: A327
Latitude: -9.42027777
Longitude: -36.62027777
Altitude: 278.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;4;26,8;980,850403;27,722581;7,8;2,911828;
2020-02-29;6;43,8;981,067098;27,456465;6,9;1,720833;
2020-03-31;15;116,2;980,660484;27,093683;5,6;1,220699;
2020-04-30;null;null;981,835417;26,059861;5;1,447361;
2020-05-31;null;null;983,369086;24,582527;5,1;1,111559;
2020-06-30;9;14,2;984,326389;23,377639;5,6;1,372778;
2020-07-31;null;null;984,74879;22,431452;5,9;,998522;
2020-08-31;null;null;985,133871;22,475;5,4;,985081;
2020-09-30;null;null;984,527917;23,258333;6,4;1,841389;
2020-10-31;null;null;982,017473;25,906317;7,3;2,484677;
2020-11-30;13;4;981,193611;26,166528;6,5;1,445694;
2020-12-31;5;1;981,277004;26,335078;7,1;1,813775;

