Nome: SURUBIM
Codigo Estacao: A328
Latitude: -7.83972221
Longitude: -35.80111111
Altitude: 421.44
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;965,089651;26,669892;8,6;3,739919;
2020-02-29;null;null;965,096839;26,702874;9,1;3,526149;
2020-03-31;null;null;964,689247;26,16371;7,7;2,576344;
2020-04-30;null;null;965,633472;25,19;6,8;2,429028;
2020-05-31;null;null;null;24,649537;7,1;null;
2020-06-30;null;null;null;null;7,7;null;
2020-07-31;null;null;null;null;7,5;null;
2020-08-31;null;null;null;null;8,2;null;
2020-09-30;null;null;null;null;8,4;null;
2020-10-31;null;null;null;null;7,4;null;
2020-11-30;null;null;null;null;8,1;null;
2020-12-31;null;null;null;null;8,7;null;

