Nome: CABROBO
Codigo Estacao: A329
Latitude: -8.50388888
Longitude: -39.31527777
Altitude: 342.74
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;8;83,6;973,26922;28,676075;7,3;,577285;
2020-02-29;10;146,2;973,743247;27,597701;7,8;,374856;
2020-03-31;18;90,6;973,608602;27,124328;6,9;,347312;
2020-04-30;15;126;974,512579;26,954638;6,7;,397844;
2020-05-31;10;40,2;976,004973;26,272715;6,9;,723387;
2020-06-30;9;12,4;976,934306;24,91125;7,6;1,576806;
2020-07-31;6;2,8;977,244893;24,393145;7,8;2,086156;
2020-08-31;5;1,6;977,231317;25,175941;8,5;2,872581;
2020-09-30;1;,2;976,25375;26,627917;8,3;2,954722;
2020-10-31;2;1,6;973,686962;29,245699;8,3;2,096371;
2020-11-30;9;50,6;973,338056;27,860556;7,6;1,554306;
2020-12-31;3;18,6;973,091801;28,760753;7,4;1,318952;

