Nome: MONTEIRO
Codigo Estacao: A334
Latitude: -7.89444444
Longitude: -37.12472221
Altitude: 606.39
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;944,441532;27,044893;8,1;3,166801;
2020-02-29;null;null;944,642241;26,521264;7,4;2,501437;
2020-03-31;12;5,6;944,583555;25,190679;6,4;1,593344;
2020-04-30;null;null;945,39625;25,011944;5,7;1,76125;
2020-05-31;null;null;946,616129;23,833468;6,4;1,652823;
2020-06-30;4;1,6;947,205694;22,354028;6,5;1,965694;
2020-07-31;null;null;947,32836;21,873656;7,2;2,273118;
2020-08-31;null;null;947,408602;22,763575;7,7;2,651075;
2020-09-30;null;null;946,860417;23,778056;7,9;2,934167;
2020-10-31;null;null;945,072177;25,94879;8;3,815323;
2020-11-30;null;null;944,36125;25,976389;7,5;3,514583;
2020-12-31;null;null;944,381989;26,025403;8,3;4,086156;

