Nome: PIRIPIRI
Codigo Estacao: A335
Latitude: -4.276047
Longitude: -41.794568
Altitude: 157.89
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;200;992,867608;27,717742;7,2;1,633602;
2020-02-29;26;286,4;993,040517;27,269971;7;1,516954;
2020-03-31;27;492,8;992,970699;27,203898;7,4;1,519355;
2020-04-30;23;185,2;993,398056;27,556111;6,9;1,541528;
2020-05-31;18;105,4;994,105242;27,930376;5,3;1,47836;
2020-06-30;4;37,6;994,221389;28,158333;6,3;1,879306;
2020-07-31;5;4,8;993,955242;28,507393;7,4;1,945161;
2020-08-31;2;15,6;993,587903;29,26707;6,1;2,20121;
2020-09-30;1;3,4;992,870833;30,153333;5,8;2,2275;
2020-10-31;2;6,6;991,666801;30,724059;6;2,445027;
2020-11-30;12;179,8;991,478889;29,445833;6,9;1,883194;
2020-12-31;8;43,8;991,370565;29,528629;5,3;2,00578;

