Nome: CARACOL
Codigo Estacao: A337
Latitude: -9.28583333
Longitude: -43.32444443
Altitude: 515.3
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;2;null;953,647618;25,38;5,6;1,511476;
2020-02-29;3;,6;953,942672;24,958908;9,7;1,380316;
2020-03-31;null;null;953,985215;24,30578;5,6;1,267607;
2020-04-30;null;null;954,846667;24,310694;6;1,409167;
2020-05-31;null;null;955,991935;24,033723;5,1;1,610753;
2020-06-30;2;2,6;956,614861;23,15875;7,1;2,081389;
2020-07-31;null;null;null;null;7;null;
2020-08-31;null;null;null;null;6,3;null;
2020-09-30;0;0;955,164769;26,284336;8,3;2,67536;
2020-10-31;4;2,2;952,950806;27,587231;7,8;2,37957;
2020-11-30;3;1,6;953,270695;24,909167;7,5;1,938194;
2020-12-31;2;,8;952,807392;25,662366;6,3;1,899866;

