Nome: APODI
Codigo Estacao: A340
Latitude: -5.62666666
Longitude: -37.815
Altitude: 131.41
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;7;72,4;996,897472;28,570415;8,4;2,876952;
2020-02-29;18;117,8;996,913153;27,566961;7;2,121735;
2020-03-31;14;null;996,90473;26,87835;8,6;1,562007;
2020-04-30;6;null;null;null;6,4;null;
2020-05-31;2;null;null;null;5;null;
2020-06-30;4;null;null;26,031268;6;null;
2020-07-31;8;15,8;999,098472;25,873056;6,2;2,477796;
2020-08-31;0;0;998,907217;27,179219;6,9;2,83525;
2020-09-30;null;0;998,530552;28,043401;7;3,241865;
2020-10-31;0;0;997,096618;28,742526;7,5;3,300937;
2020-11-30;2;3,4;996,244903;29,225646;7,7;3,304481;
2020-12-31;null;null;996,301747;29,290995;8,1;3,55336;

