Nome: CARUARU
Codigo Estacao: A341
Latitude: -8.36527777
Longitude: -36.02833332
Altitude: 852
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;7;12,2;919,962231;22,921237;6,4;2,43293;
2020-02-29;12;15,2;920,079885;23,185488;5,8;2,425431;
2020-03-31;18;156,6;919,683602;23,034812;6,1;2,213844;
2020-04-30;18;160,8;920,530556;22,342639;5,8;2,366667;
2020-05-31;25;93,2;921,593279;21,235618;8;2,532661;
2020-06-30;30;146,4;922,031389;19,849722;8;3,001667;
2020-07-31;31;15;922,115995;18,915726;8,7;3,238441;
2020-08-31;31;10,6;922,451075;18,850806;9,4;3,164516;
2020-09-30;25;8,8;922,1325;19,388194;6,8;3,131667;
2020-10-31;4;1,4;920,661156;21,249059;7,1;3,197043;
2020-11-30;10;31;919,907361;21,870972;6,2;2,896528;
2020-12-31;9;25,4;920,010081;21,620027;6,5;2,592876;

