Nome: CRATEUS
Codigo Estacao: A342
Latitude: -5.18666666
Longitude: -40.67222221
Altitude: 298.19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;139,8;978,054704;27,285215;6,6;1,82341;
2020-02-29;18;201;978,399713;26,185058;5,2;1,526905;
2020-03-31;24;430,2;978,261828;25,999328;6,6;1,443683;
2020-04-30;16;153,2;978,787808;26,273267;4,4;1,501377;
2020-05-31;13;92,2;979,746237;25,791667;4,3;1,467308;
2020-06-30;6;3,6;979,986594;25,969644;5,2;1,919555;
2020-07-31;3;4,4;979,738979;26,913978;5,5;2,015913;
2020-08-31;0;0;979,480376;28,073656;5,2;2,152407;
2020-09-30;0;0;978,897126;28,943931;5,1;2,24836;
2020-10-31;0;0;977,540054;29,842742;5,4;2,54884;
2020-11-30;6;56;977,059306;28,825278;5,2;2,111178;
2020-12-31;null;null;976,997709;29,168559;5,6;2,318648;

