Nome: SERRA TALHADA
Codigo Estacao: A350
Latitude: -7.95416666
Longitude: -38.29499999
Altitude: 499.02
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;62,4;955,682527;27,532124;6,4;1,897715;
2020-02-29;16;131;956,055316;26,208046;5,2;1,71092;
2020-03-31;25;437,6;955,989382;25,157124;4,7;1,570161;
2020-04-30;14;207,8;956,786944;25,225;7,8;1,56125;
2020-05-31;13;125,8;958,089382;24,55121;5,4;1,802016;
2020-06-30;13;61;958,858472;22,904722;5,9;2,068333;
2020-07-31;11;19,6;958,972177;22,823925;6,1;2,628898;
2020-08-31;4;4,2;958,931183;24,135618;7,6;3,102285;
2020-09-30;2;,8;958,142083;25,620833;5,7;2,900417;
2020-10-31;0;0;955,964516;28,165726;5,8;2,517607;
2020-11-30;8;112;955,5875;26,67875;5,7;2,357222;
2020-12-31;3;6;955,442473;27,366935;5,8;2,306452;

