Nome: FLORESTA
Codigo Estacao: A351
Latitude: -8.59888888
Longitude: -38.58416666
Altitude: 327.42
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;6;91;974,39086;29,432796;6,1;2,410349;
2020-02-29;14;181,4;974,867241;27,812931;8,7;2,059626;
2020-03-31;18;63,6;974,737097;27,269086;6,6;1,94664;
2020-04-30;12;21;975,624444;27,438472;6,2;2,20125;
2020-05-31;11;31,6;977,176882;26,278091;6,2;2,439919;
2020-06-30;16;18,6;978,129583;24,542639;7,3;2,451111;
2020-07-31;13;16,2;978,480242;23,816129;6,3;2,781855;
2020-08-31;7;3,8;978,512231;24,863441;7,1;3,276479;
2020-09-30;2;3;977,570833;26,468889;7,1;3,424722;
2020-10-31;1;,6;974,965726;29,290995;6,8;3,33871;
2020-11-30;15;52;974,634583;27,601528;6,9;2,674861;
2020-12-31;null;null;974,437634;28,630107;8,5;2,849731;

