Nome: CORURIPE
Codigo Estacao: A355
Latitude: -10.1286111
Longitude: -36.28638888
Altitude: 82.39
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;5;9;1003,273656;27,514382;5,9;2,432527;
2020-02-29;null;null;1003,331466;27,823563;5,5;2,205173;
2020-03-31;null;null;1002,691398;27,446102;6,7;2,14664;
2020-04-30;null;null;1003,839167;26,864722;5,2;1,822639;
2020-05-31;null;null;1005,392607;25,711694;7;1,835618;
2020-06-30;null;null;1006,494583;24,756944;6,1;2,043333;
2020-07-31;null;null;1006,971102;23,968683;7,5;2,37836;
2020-08-31;null;null;1007,484677;23,758199;6,6;2,333064;
2020-09-30;null;null;1006,955694;24,365972;6,4;2,233333;
2020-10-31;null;null;1004,573118;25,97379;5;2,470296;
2020-11-30;null;null;1003,674167;26,46125;5,7;2,541944;
2020-12-31;null;null;null;null;null;null;

