Nome: SAO LUIS DO QUITUNDE
Codigo Estacao: A356
Latitude: -9.28749999
Longitude: -35.56583333
Altitude: 13.69
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;22;1011,236559;27,15793;6,2;2,026344;
2020-02-29;19;118,6;1011,173132;27,308477;5,6;1,876006;
2020-03-31;13;138,4;1010,515323;27,18293;6,3;1,564113;
2020-04-30;20;243,4;1011,62625;26,48375;5,5;1,483056;
2020-05-31;26;372;1013,077957;25,709274;5,1;1,364785;
2020-06-30;29;398,4;1014,139306;24,411111;5,7;1,540362;
2020-07-31;29;228;1014,667876;23,425403;6,4;1,682392;
2020-08-31;23;149,6;1015,244588;23,164028;6,3;1,809783;
2020-09-30;6;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;6,5;null;

