Nome: CANTO DO BURITI
Codigo Estacao: A365
Latitude: -8.11805554
Longitude: -42.97583332
Altitude: 312.07
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;216,4;976,049597;25,934543;6,8;1,79086;
2020-02-29;16;164,6;976,194455;25,982045;8,6;1,675853;
2020-03-31;16;null;976,08234;25,614833;5,6;1,720545;
2020-04-30;11;85;976,994444;25,951667;6,6;1,77125;
2020-05-31;6;28,4;978,061694;25,845161;6,3;2,010665;
2020-06-30;0;0;978,595;25,959861;8,4;2,823333;
2020-07-31;0;0;978,434812;26,325941;7,7;3,150269;
2020-08-31;null;null;978,07743;26,681638;8,8;3,42799;
2020-09-30;null;null;null;null;7,6;null;
2020-10-31;null;null;null;null;7,4;null;
2020-11-30;null;null;null;null;6,7;null;
2020-12-31;8;72,2;974,992204;26,716264;6,1;1,959274;

