Nome: TIANGUA
Codigo Estacao: A368
Latitude: -3.73222221
Longitude: -41.01194444
Altitude: 756
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;23;187,2;928,419355;22,931452;7,3;2,971505;
2020-02-29;25;180,8;928,575862;22,865948;7,5;3,1;
2020-03-31;23;265,4;928,44207;23,054704;7,2;2,327285;
2020-04-30;17;157,6;928,9275;23,087222;8;2,768333;
2020-05-31;14;82,6;929,697715;22,885484;7,4;2,888844;
2020-06-30;6;12;929,778194;22,512778;10,5;3,166667;
2020-07-31;3;16,6;929,58629;22,221909;8,8;3,184812;
2020-08-31;2;16,6;929,443414;22,769624;8,8;3,369624;
2020-09-30;1;,4;928,992083;23,784861;8,6;3,908194;
2020-10-31;0;0;928,084274;24,286828;9,5;4,204704;
2020-11-30;8;34,6;927,530556;24,199583;9,2;3,576389;
2020-12-31;6;32,8;927,522177;24,095968;8,5;3,898253;

