Nome: SALGUEIRO
Codigo Estacao: A370
Latitude: -8.05805555
Longitude: -39.0961111
Altitude: 447
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;7;null;null;null;5,1;null;
2020-02-29;null;null;null;null;4,7;null;
2020-03-31;null;null;null;null;4,9;null;
2020-04-30;null;null;null;null;4,6;null;
2020-05-31;null;null;null;null;4,2;null;
2020-06-30;null;null;null;null;6,1;null;
2020-07-31;null;null;null;null;6,5;null;
2020-08-31;null;null;null;null;6,8;null;
2020-09-30;null;null;null;null;6,5;null;
2020-10-31;null;null;null;null;6,7;null;
2020-11-30;null;null;null;null;5,9;null;
2020-12-31;null;null;null;null;4,9;null;

