Nome: IPANGUACU
Codigo Estacao: A372
Latitude: -5.53499999
Longitude: -36.87222221
Altitude: 19
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;10;42,2;1009,014754;28,801061;9;2,235679;
2020-02-29;13;null;1008,988319;28,383916;8,3;1,762927;
2020-03-31;16;207;1008,967058;27,472896;6,4;1,057506;
2020-04-30;21;241,8;1009,487576;27,495303;6,8;1,025909;
2020-05-31;18;47,2;1010,630205;27,092376;6,4;1,035191;
2020-06-30;12;31;1011,127121;26,41303;6;1,14;
2020-07-31;2;null;null;null;7,6;null;
2020-08-31;null;null;null;null;6,2;null;
2020-09-30;null;null;null;null;7,1;null;
2020-10-31;null;null;null;null;7,4;null;
2020-11-30;null;null;null;null;7,9;null;
2020-12-31;null;null;null;null;7,7;null;

