Nome: CORRENTE
Codigo Estacao: A374
Latitude: -10.42916666
Longitude: -45.17305554
Altitude: 452
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;null;960,128979;25,708057;4;1,291019;
2020-02-29;13;null;960,529447;25,033263;5,2;1,193661;
2020-03-31;4;null;null;null;4,5;null;
2020-04-30;null;null;null;null;4;null;
2020-05-31;null;null;null;null;4;null;
2020-06-30;null;null;null;null;4,5;null;
2020-07-31;null;null;null;null;4,8;null;
2020-08-31;null;null;null;null;6,1;null;
2020-09-30;null;null;null;null;4,8;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

