Nome: SALVADOR
Codigo Estacao: A401
Latitude: -13.005515
Longitude: -38.50576
Altitude: 47.56
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;92,8;1006,754435;27,172581;3;1,270027;
2020-02-29;14;37,6;1007,059483;27,848563;2,8;1,162787;
2020-03-31;19;265,4;1006,462231;27,227688;4,6;1,572715;
2020-04-30;24;527;1007,820556;26,405139;5,1;1,623194;
2020-05-31;23;457,4;1009,710215;25,304839;6;1,590457;
2020-06-30;22;270;1011,027222;24,988056;4,8;1,458056;
2020-07-31;21;168,2;1011,581048;24,20793;3,4;1,416129;
2020-08-31;25;130;1011,900538;24,040591;4,9;1,651613;
2020-09-30;17;87,4;1011,149167;24,634722;3,3;1,347222;
2020-10-31;9;59,4;1008,051747;26,14664;3,5;1,439651;
2020-11-30;16;141,4;1007,401528;25,910139;5,1;1,538194;
2020-12-31;11;28,4;1007,379435;26,777016;3,1;1,393683;

