Nome: BARREIRAS
Codigo Estacao: A402
Latitude: -12.12472221
Longitude: -45.02694443
Altitude: 474.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;19;233;958,439382;25,553226;7,4;,541263;
2020-02-29;6;26;958,948851;25,498276;8,2;,137787;
2020-03-31;null;null;959,057392;24,729973;4,8;,140054;
2020-04-30;null;null;960,005833;25,056528;5,3;,636667;
2020-05-31;null;null;961,400672;24,213441;2,9;,146774;
2020-06-30;null;0;962,11375;22,898056;,7;,012639;
2020-07-31;0;0;961,982796;22,650806;1,2;,015726;
2020-08-31;0;0;961,30793;24,649597;2,2;,02285;
2020-09-30;1;,6;959,880694;27,113472;4,2;,039583;
2020-10-31;null;null;957,649328;28,315591;8,4;,062634;
2020-11-30;null;null;958,208472;25,467222;7,5;,486111;
2020-12-31;null;null;957,727285;26,347043;8;,779973;

