Nome: LUIZ EDUARDO MAGALHAES
Codigo Estacao: A404
Latitude: -12.1525
Longitude: -45.82972221
Altitude: 760.68
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;239,2;927,792339;24,300672;7,3;1,817742;
2020-02-29;15;334;928,287787;23,686782;7;1,284195;
2020-03-31;21;351;928,148118;23,091398;7;1,620833;
2020-04-30;15;213,2;929,169861;23,637083;7,1;2,159444;
2020-05-31;6;50,6;930,481452;22,873656;7,1;2,562231;
2020-06-30;1;2,6;931,087917;21,717917;8,2;3,124444;
2020-07-31;1;,2;930,94207;21,161828;8,5;3,230242;
2020-08-31;0;0;930,371909;22,688172;9,5;3,221774;
2020-09-30;1;,2;929,201818;24,967331;9,1;3,075525;
2020-10-31;null;null;null;null;10;null;
2020-11-30;null;null;null;null;6,9;null;
2020-12-31;null;null;null;null;6,2;null;

