Nome: CRUZ DAS ALMAS
Codigo Estacao: A406
Latitude: -12.67555554
Longitude: -39.08944444
Altitude: 219.76
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;108,6;987,595699;25,915323;7,1;2,160215;
2020-02-29;7;26,6;987,915374;26,399425;6,3;2,017385;
2020-03-31;19;124,8;987,42836;25,883199;7,1;2,320699;
2020-04-30;26;103;988,832222;24,707778;7;2,388611;
2020-05-31;30;189,8;990,653495;23,485081;6,8;2,286828;
2020-06-30;26;174,6;991,854861;22,603056;6,9;2,403056;
2020-07-31;31;184,4;992,311022;21,567473;6,4;2,372446;
2020-08-31;17;null;null;21,218872;6,9;null;
2020-09-30;null;null;null;null;6,6;null;
2020-10-31;null;null;null;null;6,2;null;
2020-11-30;null;null;null;null;6,4;null;
2020-12-31;null;null;null;null;7,2;null;

