Nome: ARACAJU
Codigo Estacao: A409
Latitude: -10.9525
Longitude: -37.05444444
Altitude: 3.72
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;8;19;1012,136962;28,200672;6,7;3,174059;
2020-02-29;17;129,6;1012,226437;28,47658;5,8;2,672701;
2020-03-31;16;187,6;1011,543414;28,177823;6,1;2,341532;
2020-04-30;17;284,6;1012,715972;27,741944;5,1;2,078611;
2020-05-31;25;197,6;1014,457392;26,39879;6,7;1,772581;
2020-06-30;26;274,4;1015,656806;25,666528;7;1,606806;
2020-07-31;25;70;1016,196237;25,064247;6,4;1,745564;
2020-08-31;26;131,4;1016,683065;25,087903;6;1,878226;
2020-09-30;20;45;1016,092222;25,775833;6;2,198889;
2020-10-31;6;20;1013,528091;26,886828;6,1;3,059409;
2020-11-30;10;58,8;1012,653611;27,226111;6,1;3,239167;
2020-12-31;6;8,2;1012,745296;27,40215;6,2;3,460484;

