Nome: BOM JESUS DA LAPA
Codigo Estacao: A418
Latitude: -13.25111111
Longitude: -43.40527777
Altitude: 447.75
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;null;null;26,544444;6,2;null;
2020-02-29;10;78;961,822596;27,134105;4,3;,943573;
2020-03-31;15;null;962,026526;25,70317;4,4;,974107;
2020-04-30;5;null;963,00439;25,938273;3,8;1,137124;
2020-05-31;2;64,4;964,69879;24,638038;4,2;1,289113;
2020-06-30;0;0;965,509414;24,273865;5,9;1,451926;
2020-07-31;0;0;965,411694;24,235349;5,1;1,475403;
2020-08-31;1;,2;964,882344;25,845357;4,9;1,775415;
2020-09-30;1;4,8;963,41811;28,126987;5,1;1,60256;
2020-10-31;7;41,4;960,727206;29,382679;5,5;1,415535;
2020-11-30;9;null;961,223589;26,24161;4,7;1,197368;
2020-12-31;4;4;960,803352;27,712716;4,3;1,183847;

