Nome: POCO VERDE
Codigo Estacao: A419
Latitude: -10.73805555
Longitude: -38.10833333
Altitude: 367.01
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;6;31,4;970,854212;26,756111;,7;,003495;
2020-02-29;7;null;null;null;,1;null;
2020-03-31;null;null;null;null;0;null;
2020-04-30;null;null;null;null;,2;null;
2020-05-31;null;null;null;23,432292;,4;null;
2020-06-30;null;null;974,632759;22,076293;0;0;
2020-07-31;null;null;975,007124;21,076613;0;0;
2020-08-31;null;null;975,29422;21,219086;0;0;
2020-09-30;null;null;974,546389;22,605;0;0;
2020-10-31;4;10,6;971,945968;25,024597;0;0;
2020-11-30;6;5,8;971,245694;24,977083;0;0;
2020-12-31;3;1,4;971,175941;25,593279;0;0;

