Nome: BREJO GRANDE
Codigo Estacao: A421
Latitude: -10.47388888
Longitude: -36.48194443
Altitude: 6.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;1012,04845;27,91893;5,4;2,358832;
2020-02-29;null;null;null;27,844011;4,6;null;
2020-03-31;null;140,6;1011,527823;27,6;4,6;1,338038;
2020-04-30;null;242,6;1012,690417;26,941667;4,2;,624167;
2020-05-31;null;284,8;1014,307527;26,143548;0;0;
2020-06-30;null;null;1015,563782;25,352604;0;0;
2020-07-31;null;null;null;null;0;null;
2020-08-31;null;null;null;null;0;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

