Nome: ABROLHOS
Codigo Estacao: A422
Latitude: -17.96305555
Longitude: -38.70333333
Altitude: 20.93
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;8;163,2;1010,26828;26,188844;17,2;6,43078;
2020-02-29;4;10;1011,414368;27,295833;10,7;4,866954;
2020-03-31;16;97,8;1011,239651;26,992876;12,7;4,274328;
2020-04-30;14;91,8;1012,788056;26,396667;14,2;4,575556;
2020-05-31;11;28,6;1014,947984;25,470833;13,3;4,76828;
2020-06-30;4;23,4;1016,629306;25,135833;10,6;4,403472;
2020-07-31;9;32,4;1017,038844;24,470833;11,5;4,743011;
2020-08-31;19;50,8;1017,297177;23,693145;18,9;6,535081;
2020-09-30;8;10,6;1016,105;24,663472;13;6,307639;
2020-10-31;10;77,6;1012,39135;24,970833;17,5;6,521831;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

