Nome: PORTO SEGURO
Codigo Estacao: A427
Latitude: -16.38888888
Longitude: -39.18249999
Altitude: 86.36
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;77,2;1002,892193;25,810119;4,4;1,731323;
2020-02-29;9;17;1003,771552;26,224282;4,4;1,472558;
2020-03-31;18;229,6;1003,72043;25,271237;4,1;1,452554;
2020-04-30;22;204;1005,263194;24,517917;4,4;1,472361;
2020-05-31;26;122,8;1007,34664;22,929301;3,6;1,265995;
2020-06-30;24;198,4;1008,856667;21,907917;4,6;1,111111;
2020-07-31;28;130,8;1009,24086;21,182796;3,6;1,099462;
2020-08-31;13;null;null;null;4,2;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;null;null;null;null;null;null;
2020-12-31;null;null;null;null;null;null;

