Nome: BARRA
Codigo Estacao: A429
Latitude: -11.08472221
Longitude: -43.13888888
Altitude: 407.5
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;330,8;965,7125;27,276478;6;1,313441;
2020-02-29;22;117;965,955747;27,522414;6,7;1,283477;
2020-03-31;18;251;966,161694;26,392473;5,1;1,168145;
2020-04-30;10;171,4;967,121944;26,403472;4,5;1,075833;
2020-05-31;5;11,6;968,397312;25,962231;4;1,173118;
2020-06-30;0;0;969,23375;25,112222;5,5;1,683194;
2020-07-31;0;0;969,216263;24,647177;6,5;1,683468;
2020-08-31;0;0;968,774731;26,22164;6,9;2,018414;
2020-09-30;0;0;967,666389;28,031528;6,1;2,463472;
2020-10-31;10;4,2;965,080242;29,559409;5,8;2,372849;
2020-11-30;null;null;965,546944;26,484028;5,3;1,593333;
2020-12-31;null;null;964,846102;28,570027;5,3;1,679839;

