Nome: PIATA
Codigo Estacao: A430
Latitude: -13.155681
Longitude: -41.774125
Altitude: 1283.95
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;198,8;871,369489;21,075672;8,3;2,848925;
2020-02-29;11;42;871,913506;21,650718;6,5;2,409339;
2020-03-31;21;302;871,718157;20,154675;10,2;2,641655;
2020-04-30;19;232,6;872,767361;19,616528;9,1;2,897083;
2020-05-31;18;41;873,865726;18,363038;9,1;2,67836;
2020-06-30;16;55,6;874,528472;17,132083;8,6;3,371389;
2020-07-31;19;75,4;874,39664;16,381183;7,5;3,28629;
2020-08-31;12;37,4;874,309274;16,633468;10,2;3,350269;
2020-09-30;10;23,8;873,727639;18,370556;7,5;3,348194;
2020-10-31;10;114,6;871,754032;20,682258;8,6;2,770968;
2020-11-30;21;292,4;871,341667;19,076944;7,1;2,6625;
2020-12-31;3;17,2;871,197177;20,351747;6,2;2,367204;

