Nome: CONDE
Codigo Estacao: A431
Latitude: -12.03583333
Longitude: -37.68388888
Altitude: 31.9
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;11;86,2;1008,091129;27,029704;6,6;3,219086;
2020-02-29;10;40,6;1008,253879;27,633908;7,1;3,072414;
2020-03-31;13;218,8;1007,590115;27,362346;7,1;2,976774;
2020-04-30;16;238;1008,813611;26,695278;7,3;2,797083;
2020-05-31;23;503;1010,637634;25,371102;8,3;2,703898;
2020-06-30;29;182,4;1011,862639;24,977639;8,2;3,392222;
2020-07-31;26;241,8;1012,286746;23,980569;8,9;3,598703;
2020-08-31;25;96,2;1012,555865;23,874976;8,2;3,721078;
2020-09-30;20;121,2;1011,920278;24,351528;7,9;3,633472;
2020-10-31;8;72,2;1009,185753;25,764113;8,3;3,631183;
2020-11-30;17;58,4;1008,346204;26,084195;7,2;3,676111;
2020-12-31;4;28,2;1008,465153;26,534654;7,4;3,836962;

