Nome: BRUMADO
Codigo Estacao: A433
Latitude: -14.18194443
Longitude: -41.67222221
Altitude: 473.37
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;214,2;959,633871;25,547177;7,7;1,147043;
2020-02-29;3;14,4;960,084483;26,706322;7,1;1,179885;
2020-03-31;14;241;960,358199;25,019489;8,5;,998522;
2020-04-30;16;142,6;961,766353;24,408605;4,4;,88997;
2020-05-31;15;31,6;963,457796;22,655511;3,8;,840457;
2020-06-30;10;7,4;964,618889;22,064028;4,4;1,1025;
2020-07-31;6;10,2;964,701344;22,000134;4,4;1,251882;
2020-08-31;7;6,2;964,65779;22,92268;5;1,587366;
2020-09-30;3;2;963,373889;25,026806;5;1,847639;
2020-10-31;6;87,4;960,082124;26,854704;9,9;1,70914;
2020-11-30;20;200,8;960,430972;23,868194;4,2;1,113889;
2020-12-31;2;1,8;959,745074;25,999988;5,1;1,415574;

