Nome: AMARGOSA
Codigo Estacao: A434
Latitude: -13.00944444
Longitude: -39.61694443
Altitude: 397.8
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;116,4;969,219945;25,045372;5,8;,532457;
2020-02-29;9;18;969,567198;25,654866;6;,751324;
2020-03-31;14;158,4;969,09266;24,888781;6,9;,844828;
2020-04-30;17;219,4;970,449961;23,907156;7,8;,864771;
2020-05-31;15;92,6;972,185735;22,482019;7,4;1,217543;
2020-06-30;23;99,4;973,324837;21,437639;7,8;1,079463;
2020-07-31;22;103;973,672403;20,476099;7,7;1,046649;
2020-08-31;21;157,2;973,884319;20,227869;7,9;1,181233;
2020-09-30;20;109,8;973,144424;21,196023;6,7;1,251332;
2020-10-31;12;90,8;970,272236;23,227361;6,5;,973802;
2020-11-30;17;178,6;969,74364;23,052182;6,8;1,012231;
2020-12-31;6;5;969,667303;23,932162;7,5;1,280845;

