Nome: MARAU
Codigo Estacao: A438
Latitude: -13.90694444
Longitude: -38.97222221
Altitude: 6.24
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;17;174,8;1012,344355;26,85578;5,6;1,844624;
2020-02-29;20;152,2;1012,704741;27,337931;5,8;1,672414;
2020-03-31;21;169,8;1012,224328;26,95336;5,2;2,058602;
2020-04-30;24;446,4;1013,685139;26,065695;7,1;2,119167;
2020-05-31;24;314;1015,691935;24,79664;5,9;1,989919;
2020-06-30;28;241;1017,078056;24,102083;5,6;2,079167;
2020-07-31;27;266,6;1017,616263;23,397984;5,9;2,046774;
2020-08-31;27;293,2;1017,958065;23,003763;5,6;2,109677;
2020-09-30;23;85;1017,071389;24,18875;5,5;2,025278;
2020-10-31;18;75,4;1013,753763;25,611962;5,5;2,247043;
2020-11-30;18;120,2;1013,216528;25,659306;5,3;2,309861;
2020-12-31;20;129;1013,109005;26,374194;5,9;2,240457;

