Nome: IBOTIRAMA
Codigo Estacao: A439
Latitude: -12.19305555
Longitude: -43.21333333
Altitude: 425.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;null;963,623273;26,938045;6,2;1,230864;
2020-02-29;11;null;963,972436;26,568015;9,4;1,004838;
2020-03-31;16;274;964,331457;25,55521;6,5;1,08761;
2020-04-30;null;null;965,090438;25,587587;4,8;,956133;
2020-05-31;null;null;966,639559;24,599516;5,8;1,126391;
2020-06-30;null;null;967,35951;24,548921;6;1,490994;
2020-07-31;null;0;967,285722;24,823767;7,7;1,999796;
2020-08-31;0;0;966,758409;26,820582;7,9;2,505277;
2020-09-30;null;0;965,514992;28,892737;8,2;2,739389;
2020-10-31;1;5,2;962,911618;29,928515;8,3;1,98407;
2020-11-30;7;null;null;26,345624;5,8;null;
2020-12-31;null;null;null;null;5;null;

