Nome: EUCLIDES DA CUNHA
Codigo Estacao: A442
Latitude: -10.537233
Longitude: -38.996605
Altitude: 431.96
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;963,611767;26,538655;6,2;2,509199;
2020-02-29;null;null;963,944516;26,325748;7,6;2,388104;
2020-03-31;null;null;963,650331;25,330625;6,9;2,155778;
2020-04-30;null;null;964,633857;25,369545;8,5;2,14064;
2020-05-31;null;null;965,820148;23,200803;5,7;2,246483;
2020-06-30;null;null;966,69016;21,710818;6,7;2,260564;
2020-07-31;null;94,8;966,969033;20,789981;5,9;2,484716;
2020-08-31;null;82,2;966,85948;21,119867;6,8;2,571917;
2020-09-30;null;15,4;964,408047;22,911475;6,4;2,876478;
2020-10-31;null;14,4;962,816143;25,812509;6,3;3,005931;
2020-11-30;null;165,4;961,795222;24,711403;6,3;2,612626;
2020-12-31;null;9,2;962,316116;25,669853;6,1;2,89397;

