Nome: IPIAU
Codigo Estacao: A445
Latitude: -14.17138888
Longitude: -39.69249999
Altitude: 132.11
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;132,4;997,80578;26,125538;7,4;1,451344;
2020-02-29;null;null;998,29088;26,470746;5,2;1,392479;
2020-03-31;null;null;998,108871;25,614247;4,8;1,355914;
2020-04-30;11;48,4;999,598056;24,919306;4,9;1,265556;
2020-05-31;21;68,4;1001,633199;23,511021;4,5;1,198135;
2020-06-30;23;123,8;1003,048194;22,209306;5,3;1,13524;
2020-07-31;30;119;1003,479167;21,362097;4,8;1,218126;
2020-08-31;26;115,4;1003,731586;21,265995;4,5;1,270695;
2020-09-30;24;70,6;1002,659583;22,500556;5,8;1,269861;
2020-10-31;18;100,8;999,2;24,576344;5,2;1,372581;
2020-11-30;17;null;998,289931;24,640799;5,3;1,377604;
2020-12-31;null;null;null;null;null;null;

