Nome: ITAPETINGA
Codigo Estacao: A446
Latitude: -15.24472221
Longitude: -40.22944443
Altitude: 271.48
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;14;279,6;981,135063;26,378734;7,3;2,119448;
2020-02-29;6;15,2;981,808392;27,33059;6,7;2,250168;
2020-03-31;21;171,6;982,084368;25,401221;5,9;1,602221;
2020-04-30;18;152;983,635689;24,402619;6,8;1,491376;
2020-05-31;16;46,2;985,541614;22,927717;4,9;1,42486;
2020-06-30;18;56;986,946111;21,777252;6,2;1,435694;
2020-07-31;22;46,2;987,251537;21,020611;5,3;1,46413;
2020-08-31;22;52;987,501045;20,716866;7,1;1,626655;
2020-09-30;12;32;986,076966;23,179723;6,1;2,176213;
2020-10-31;9;62,6;982,509526;25,183491;8,6;2,413523;
2020-11-30;19;209;982,506905;23,68037;6,3;1,817092;
2020-12-31;5;6,4;981,918855;25,574704;7,4;2,42694;

