Nome: BELMONTE
Codigo Estacao: A447
Latitude: -16.08805555
Longitude: -39.21527777
Altitude: 89.67
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;89,6;1002,512769;25,932258;5;1,865054;
2020-02-29;12;16,4;1003,304598;26,324856;4,3;1,625287;
2020-03-31;23;132,8;1003,214113;25,288575;4,7;1,76586;
2020-04-30;null;null;1004,760278;24,530139;5,7;1,830417;
2020-05-31;null;null;1006,842339;22,85672;5,5;1,533216;
2020-06-30;null;null;1008,338194;21,87125;5,7;1,450833;
2020-07-31;null;null;1008,740995;21,070699;5,3;1,379435;
2020-08-31;null;null;1009,08629;20,894758;5,5;1,722581;
2020-09-30;null;null;1007,894861;21,895;4,8;1,404861;
2020-10-31;null;null;1004,085484;24,074731;5,8;2,013844;
2020-11-30;null;null;1003,930278;23,707639;4,8;1,875278;
2020-12-31;2;null;null;null;5,3;null;

