Nome: PILAO ARCADO
Codigo Estacao: A449
Latitude: -10.01833332
Longitude: -42.50027777
Altitude: 385
Situacao: Pane
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;243,8;966,218011;26,35578;6,1;1,637366;
2020-02-29;7;100,4;966,369253;26,911925;6,7;1,584339;
2020-03-31;17;280,6;966,55052;25,862605;5,3;1,580055;
2020-04-30;8;null;967,593301;27,119;5,6;1,905609;
2020-05-31;null;0;968,750246;27,137798;6;2,231342;
2020-06-30;null;null;969,718856;25,993182;6,5;2,884378;
2020-07-31;null;null;null;null;5,5;null;
2020-08-31;null;null;968,992191;26,671354;5,6;2,514938;
2020-09-30;0;0;968,325139;27,675833;6;2,943611;
2020-10-31;7;33,8;965,725941;28,972849;5,5;2,433333;
2020-11-30;9;225,6;966,0025;27,338611;6,1;2,173472;
2020-12-31;null;null;null;null;null;null;

