Nome: FORMOSA DO RIO PRETO
Codigo Estacao: A452
Latitude: -11.05222222
Longitude: -45.20083333
Altitude: 488
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;242,8;956,890591;25,67379;5,3;1,205914;
2020-02-29;16;149,6;957,313793;25,281609;4,9;1,094684;
2020-03-31;21;257,6;957,404839;24,503495;4,2;1,016667;
2020-04-30;10;78,8;958,235145;24,838031;4,1;1,027077;
2020-05-31;4;12,2;959,45058;24,098517;3,7;1,08668;
2020-06-30;null;0;960,078186;22,583308;4,9;1,167837;
2020-07-31;0;0;959,914974;22,230229;4,3;1,229383;
2020-08-31;null;null;959,225515;24,011992;4,9;1,425754;
2020-09-30;null;null;958,195773;null;4,5;1,500018;
2020-10-31;null;null;null;null;6,1;null;
2020-11-30;null;null;null;null;6,1;null;
2020-12-31;null;null;null;null;null;null;

