Nome: NOSSA SENHORA DA GLORIA
Codigo Estacao: A453
Latitude: -10.20777777
Longitude: -37.43194443
Altitude: 271
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;4;47;981,291532;27,24664;null;null;
2020-02-29;13;40,2;981,49727;27,296839;null;null;
2020-03-31;10;178,2;981,015188;27,155511;null;null;
2020-04-30;16;81,6;982,214167;26,152778;null;null;
2020-05-31;27;73,8;983,846237;24,485618;null;null;
2020-06-30;28;167,8;984,878472;23,297639;null;null;
2020-07-31;26;89;985,303629;22,180376;null;null;
2020-08-31;15;37,6;985,671237;22,293011;null;null;
2020-09-30;null;null;985,01375;23,264722;null;null;
2020-10-31;null;null;982,453495;25,808602;null;null;
2020-11-30;10;31,6;981,66375;25,903889;null;null;
2020-12-31;1;,4;981,670027;26,484409;null;null;

