Nome: SALVADOR (RADIO FAROL)
Codigo Estacao: A456
Latitude: -12.80833333
Longitude: -38.49583333
Altitude: 31
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;4;null;null;27,023654;null;null;
2020-02-29;2;null;null;null;3,3;null;
2020-03-31;13;null;1007,686915;27,005885;5,1;null;
2020-04-30;10;null;1009,064031;26,275897;4,2;null;
2020-05-31;14;null;1010,986423;24,822121;null;null;
2020-06-30;13;null;1012,230596;24,332316;3,8;1,243292;
2020-07-31;14;null;1012,818261;23,113964;3,7;1,334915;
2020-08-31;13;null;1013,124823;23,043007;5,3;1,438664;
2020-09-30;11;null;1012,345317;24,131105;3,7;1,431669;
2020-10-31;5;null;1009,271372;26,056496;4,3;1,824402;
2020-11-30;5;null;1008,618102;25,970798;4,7;1,722485;
2020-12-31;9;null;1008,601203;26,446482;4;1,571304;

