Nome: RIBEIRA DO AMPARO
Codigo Estacao: A458
Latitude: -11.05861111
Longitude: -38.44416666
Altitude: 182
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;6;60,4;991,114516;27,808468;8;2,491129;
2020-02-29;9;53,8;991,406659;27,871539;7,8;2,295858;
2020-03-31;15;233,6;991,082171;27,040211;7,3;1,802913;
2020-04-30;15;111,6;992,356389;26,16625;6,8;1,717778;
2020-05-31;16;100;994,151747;24,506183;6,5;1,659677;
2020-06-30;26;107,8;995,32375;23,173889;6,6;1,660833;
2020-07-31;5;null;null;null;null;null;
2020-08-31;null;null;null;null;null;null;
2020-09-30;null;null;null;null;null;null;
2020-10-31;null;null;null;null;null;null;
2020-11-30;3;null;null;null;null;null;
2020-12-31;1;1,2;991,575736;26,822666;7,8;2,780979;

