Nome: ARAXA
Codigo Estacao: A505
Latitude: -19.60583333
Longitude: -46.94972221
Altitude: 1018.32
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;20;308,6;899,780914;23,109005;6,5;1,828629;
2020-02-29;26;479,8;901,420977;21,848707;7,3;2,059626;
2020-03-31;18;209,8;901,631586;22,194892;8,5;2,336022;
2020-04-30;8;30,4;903,023195;21,834722;6,3;2,144583;
2020-05-31;6;59,4;904,3868;18,899533;5,7;2,086997;
2020-06-30;1;3;905,310695;19,679583;7,5;2,391945;
2020-07-31;0;0;905,02043;19,978091;8,1;2,537903;
2020-08-31;1;2,6;904,939528;20,03783;6,9;3,048546;
2020-09-30;2;12,8;903,4725;24,340833;6,7;2,744444;
2020-10-31;13;93,4;900,648253;24,436694;6,7;2,730108;
2020-11-30;14;134,8;900,742361;22,693889;7,2;2,484167;
2020-12-31;22;263,2;900,520968;22,336156;6,6;1,976479;

