Nome: MONTES CLAROS
Codigo Estacao: A506
Latitude: -16.68638888
Longitude: -43.84388888
Altitude: 645.87
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;16;298,8;939,579839;24,891935;5,9;1,671237;
2020-02-29;11;64,8;940,741523;25,27227;9;1,12931;
2020-03-31;22;186,4;941,082661;23,65;4,9;1,081989;
2020-04-30;9;27,4;942,421111;23,543611;5,3;1,076667;
2020-05-31;6;43,6;944,007124;21,13172;4,7;1,112903;
2020-06-30;1;,8;945,084306;21,051806;5,5;1,212778;
2020-07-31;1;,2;945,056381;20,964715;5,6;1,406452;
2020-08-31;0;0;944,874462;22,015054;5,9;1,911962;
2020-09-30;1;2;943,062222;25,46375;6,4;2,04125;
2020-10-31;13;151,4;940,012769;26,431048;7,4;1,926613;
2020-11-30;14;160,8;940,433611;23,9375;6,2;1,54125;
2020-12-31;13;89;939,876192;24,721932;4,8;1,359981;

