Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;496;933,475806;22,891532;5,2;,803091;
2020-02-29;20;368,4;935,469109;22,358333;5,1;,820115;
2020-03-31;17;184,4;936,141784;21,078384;3,8;,502203;
2020-04-30;15;52;937,533056;19,934028;3,3;,564028;
2020-05-31;16;60;938,8875;16,927957;4,3;,63172;
2020-06-30;11;2,6;940,157361;17,290556;3,8;,615;
2020-07-31;8;2,6;940,065323;17,446237;4;,647581;
2020-08-31;5;21,4;940,539247;17,172043;4,3;,802016;
2020-09-30;3;30,2;938,39;20,644167;4,6;,876944;
2020-10-31;13;173,4;935,363575;21,533333;4,4;,819489;
2020-11-30;16;195;935,260833;21,567778;4,5;,857778;
2020-12-31;15;198;934,453226;22,515457;4,4;,935618;

