Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;509,6;896,616532;21,723656;7;1,989247;
2020-02-29;22;232,8;898,402586;21,240661;7,5;2,095259;
2020-03-31;15;258,6;898,903898;20,096102;5,4;2,016801;
2020-04-30;17;49;900,146389;19,054306;6,9;2,069444;
2020-05-31;17;35;901,190591;16,776478;5,9;2,002285;
2020-06-30;6;1,4;902,446667;17,858611;8,4;1,917917;
2020-07-31;7;1,4;902,20457;17,987231;9;2,219892;
2020-08-31;4;21,2;902,552554;17,04086;5,2;2,323521;
2020-09-30;5;16,8;900,917778;21,452083;5;2,268611;
2020-10-31;14;179,2;898,135215;20,75;9;2,233199;
2020-11-30;17;242,2;897,918472;20,438472;5,8;2,358611;
2020-12-31;20;245;897,387903;21,476613;5,8;1,884812;

