Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.106502
Longitude: -44.250928
Altitude: 929.88
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;233,4;907,532661;22,335349;9,6;2,202285;
2020-02-29;23;595,6;909,364512;21,473276;9;2,244684;
2020-03-31;15;211,6;909,993683;20,839516;9;2,303091;
2020-04-30;14;17;911,269722;19,582639;11;2,426528;
2020-05-31;3;null;null;null;6,7;null;
2020-06-30;null;null;null;null;9,7;null;
2020-07-31;null;null;null;null;8,1;null;
2020-08-31;null;null;null;null;7,8;null;
2020-09-30;null;null;null;null;8,1;null;
2020-10-31;8;null;null;null;9,3;null;
2020-11-30;16;168,4;908,935803;21,163037;8,8;2,667114;
2020-12-31;25;353;908,331183;22,126747;8,8;2,044624;

