Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;156,6;906,884543;22,147849;5,3;1,445699;
2020-02-29;24;452,6;908,563937;21,65704;6,8;1,537356;
2020-03-31;10;96,6;909,23144;21,268157;6,3;1,560016;
2020-04-30;5;31,4;910,436667;20,050278;6,7;1,37;
2020-05-31;4;12,8;911,641129;16,988979;5,5;1,438844;
2020-06-30;5;20,8;912,855556;17,852778;6,2;1,432917;
2020-07-31;3;,6;912,509005;18,197581;6,3;1,689247;
2020-08-31;2;14,8;912,795161;18,174059;5,9;2,042608;
2020-09-30;4;34,2;910,991944;22,581806;6,9;2,110139;
2020-10-31;8;23,2;908,159812;22,676882;7,7;2,120699;
2020-11-30;4;null;908,071389;21,744583;7,3;2,075556;
2020-12-31;null;null;907,725403;21,874866;6,2;1,702151;

