Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;24;204,8;924,382027;23,336647;null;null;
2020-02-29;24;367,2;925,929229;22,775156;null;null;
2020-03-31;5;null;926,553391;null;null;null;
2020-04-30;3;null;927,858403;21,244854;9,3;1,662945;
2020-05-31;1;null;null;18,829552;4,8;null;
2020-06-30;null;null;null;null;null;null;
2020-07-31;null;null;null;null;null;null;
2020-08-31;1;4,8;930,179194;19,823998;6,4;2,346271;
2020-09-30;2;2,2;928,15246;23,775154;6,7;2,213591;
2020-10-31;10;77,4;925,215513;24,671406;7,4;2,645091;
2020-11-30;8;76,6;925,364559;23,490344;null;null;
2020-12-31;23;348;925,219234;22,590064;8,9;1,733301;

