Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;396,8;978,153898;25,140591;6,6;,608199;
2020-02-29;22;339,4;980,262356;24,775144;9,2;,637213;
2020-03-31;17;300,2;981,545613;23,620589;5,6;,527138;
2020-04-30;11;120,2;983,164167;22,306528;7;,530417;
2020-05-31;13;77,4;984,531586;20,003629;4,7;,518952;
2020-06-30;5;4,2;985,751389;20,612778;3;,543472;
2020-07-31;2;,8;985,79207;20,848925;3,5;,766532;
2020-08-31;4;24;986,502823;20,695565;4;,706586;
2020-09-30;5;37,8;983,549444;24,101111;5,7;,634028;
2020-10-31;14;139,8;980,607124;23,802554;7;,644086;
2020-11-30;16;180,4;980,640139;23,486111;8,3;,789445;
2020-12-31;17;180,4;979,035484;25,4375;3,7;,601075;

