Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98586
Longitude: -48.151574
Altitude: 572.54
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;21;369,4;946,304032;24,961425;7,3;1,333468;
2020-02-29;23;292,2;947,920259;24,341523;7,5;,865948;
2020-03-31;12;87,4;948,335081;24,300941;5,7;,561694;
2020-04-30;4;27,4;950,086944;23,272222;9,4;,984306;
2020-05-31;5;32,8;951,946371;19,430242;7;1,591263;
2020-06-30;0;0;952,406528;20,921806;9;,413333;
2020-07-31;0;0;952,126478;21,080511;6,7;2,370699;
2020-08-31;1;4,6;951,96586;21,974597;8,7;2,203226;
2020-09-30;2;4,8;949,623056;26,235;6,6;1,194861;
2020-10-31;8;66,8;946,85;26,53293;7,9;2,300941;
2020-11-30;12;93,4;947,350833;25,049583;9,4;2,459861;
2020-12-31;25;303,2;947,097715;24,50793;11,5;1,303629;

