Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;739,8;916,220296;23,652016;7,8;1,431452;
2020-02-29;25;344,6;918,111351;23,037644;4,8;1,531035;
2020-03-31;13;318;918,426344;22,265726;5,8;1,699059;
2020-04-30;11;101;919,748333;21,661389;5,1;1,555;
2020-05-31;10;27,8;921,194489;18,769624;3,9;1,448387;
2020-06-30;3;4,4;922,431389;19,409722;4,3;1,444722;
2020-07-31;2;2,4;922,230107;19,794489;5;1,720296;
2020-08-31;2;13,8;922,435215;19,500538;5;2,143683;
2020-09-30;5;null;920,492572;24,16721;4,9;2,104167;
2020-10-31;12;114;917,609677;23,561156;6,8;2,038844;
2020-11-30;13;150,2;917,604306;22,623056;4,8;1,973472;
2020-12-31;18;232,4;917,065995;23,377285;4,4;1,502823;

