Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;12;341,6;988,073223;26,139446;8,3;2,866743;
2020-02-29;8;43,4;989,471695;26,580891;7,5;2,588406;
2020-03-31;20;187;990,022177;24,39422;6;2,3125;
2020-04-30;13;40,6;991,689861;23,684861;5,8;2,461944;
2020-05-31;18;39,2;993,47379;22,051882;6,4;2,074194;
2020-06-30;22;47,2;994,914239;21,740489;7;2,120042;
2020-07-31;23;76,6;995,233333;20,774597;6,5;2,19207;
2020-08-31;20;53;995,644758;20,77043;6,8;2,731317;
2020-09-30;8;18,8;993,757083;23,208333;8;2,943194;
2020-10-31;15;87,2;989,981317;24,393011;6,7;3,010361;
2020-11-30;21;171,8;990,076528;23,359722;8,5;2,88617;
2020-12-31;5;null;null;null;null;null;

