Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;25;319,8;904,182258;22,64543;5,6;1,178226;
2020-02-29;26;469,4;905,785632;21,7875;8,7;1,241667;
2020-03-31;16;212;905,915726;21,391129;4,6;,641129;
2020-04-30;12;96,8;907,377361;20,540417;6,6;,675556;
2020-05-31;9;36,2;908,739919;16,990054;4,7;,667204;
2020-06-30;1;7;909,666389;17,647639;6;,668056;
2020-07-31;1;3,8;909,394355;17,615995;5,2;,715591;
2020-08-31;2;1,4;909,218145;18,378226;6,1;,97957;
2020-09-30;2;26,6;907,726945;22,076806;5;,800556;
2020-10-31;11;130,4;904,939113;23,189113;5,3;1,008871;
2020-11-30;12;148,4;905,071528;21,655695;5,7;1,034444;
2020-12-31;23;421,6;904,842204;21,984812;5,7;1,013172;

