Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;null;null;910,498387;23,392742;6,2;1,768952;
2020-02-29;null;null;912,021264;22,621983;7;2,15431;
2020-03-31;null;null;912,306317;22,875134;5,3;1,768683;
2020-04-30;null;null;913,848889;22,149028;6,2;1,607361;
2020-05-31;null;null;915,307393;18,316667;4,9;1,605376;
2020-06-30;null;0;916,060972;19,850833;7,3;1,875139;
2020-07-31;0;0;915,810753;19,94086;5,9;1,858468;
2020-08-31;2;2;915,614919;20,692339;7,3;2,090054;
2020-09-30;3;5,4;913,987222;24,811805;6,2;1,935278;
2020-10-31;4;5,2;911,17621;25,089919;6,6;2,021774;
2020-11-30;null;null;911,394028;23,384444;6,7;1,936111;
2020-12-31;23;338,6;911,217473;22,857392;6,8;1,619355;

