Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;15;277,8;959,233468;25,457124;8,6;1,505107;
2020-02-29;10;140,4;960,759914;25,751868;7,2;1,542672;
2020-03-31;17;312;961,365188;23,393011;7,2;1,013978;
2020-04-30;12;84,2;962,916945;22,871111;5,1;,911111;
2020-05-31;12;60,8;964,498522;20,866532;5,3;,829436;
2020-06-30;11;32,2;965,89782;20,115755;5,2;,632337;
2020-07-31;16;42,6;966,044489;19,863979;4,6;,754435;
2020-08-31;12;40,6;966,34328;20,058737;4,4;1,059409;
2020-09-30;4;23,6;964,443889;23,172639;6;1,669583;
2020-10-31;7;108,6;960,920161;24,076479;5,8;1,433737;
2020-11-30;20;194,8;961,014444;22,868409;5,8;1,242298;
2020-12-31;12;79,6;960,165799;24,967546;6;1,577375;

