Nome: PASSA QUATRO
Codigo Estacao: A529
Latitude: -22.395799
Longitude: -44.961909
Altitude: 1017.1
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;232,4;898,447178;21,31129;9,7;2,115323;
2020-02-29;22;246,2;900,126006;20,690948;8,6;2,400431;
2020-03-31;12;109,4;900,875906;19,976245;7,1;1,969028;
2020-04-30;9;15,2;901,988472;18,630417;7,4;1,999167;
2020-05-31;11;24,8;902,975538;15,700941;8,3;2,150269;
2020-06-30;6;21,6;904,23625;17,018056;12,1;2,01;
2020-07-31;6;6,6;903,98078;16,610887;8,6;2,02164;
2020-08-31;3;15,2;904,327151;16,490054;8,1;2,240188;
2020-09-30;4;43,6;902,662222;20,885417;8,2;1,974722;
2020-10-31;10;117,2;899,910215;20,616667;8,4;2,575941;
2020-11-30;15;110;899,7725;19,774445;7,2;2,531667;
2020-12-31;24;310,8;899,279973;20,879704;6,9;1,992339;

