Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.314567
Longitude: -45.373049
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;22;287,8;873,647312;19,712634;4,1;,683602;
2020-02-29;27;360,4;875,182471;19,228736;3,9;,699569;
2020-03-31;17;216,6;875,840726;17,819086;2,9;,575269;
2020-04-30;15;74,8;876,860278;15,975417;4,3;,510694;
2020-05-31;21;28;877,652688;12,665188;3;,500269;
2020-06-30;17;44;878,961945;14,169028;3,2;,536528;
2020-07-31;16;5,2;878,675;13,30672;2,7;,523656;
2020-08-31;11;20,2;878,89086;13,736962;3,2;,60578;
2020-09-30;6;53;877,6375;18,230556;3,5;,640833;
2020-10-31;14;95,4;874,906452;18,835484;3,9;,70457;
2020-11-30;17;121,8;874,690694;18,158472;3,4;,729028;
2020-12-31;29;532,6;874,406452;19,295161;3,2;,594892;

