Nome: GOVERNADOR VALADARES
Codigo Estacao: A532
Latitude: -18.830354
Longitude: -41.977007
Altitude: 198.24
Situacao: Operante
Data Inicial: 2020-01-01
Data Final: 2020-12-31
Periodicidade da Medicao: Mensal

Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s);
2020-01-31;13;210;987,643006;26,514732;12;1,712649;
2020-02-29;13;57,6;989,565805;26,248707;7,6;1,411063;
2020-03-31;13;383,2;990,377957;24,511425;6,4;1,167608;
2020-04-30;17;55;991,985;23,975278;6,5;1,168611;
2020-05-31;14;134,4;993,865188;21,372715;5,1;1,097446;
2020-06-30;20;8,2;995,355417;20,459583;6,6;1,017778;
2020-07-31;19;10,4;995,435215;20,579436;4,9;1,210618;
2020-08-31;10;25,6;995,859192;20,815009;6,6;1,490797;
2020-09-30;null;null;null;null;6,5;null;
2020-10-31;6;null;null;null;11,4;null;
2020-11-30;20;110,6;989,900278;24,576111;7,9;1,569306;
2020-12-31;8;14,4;988,746441;26,278746;6,5;1,716148;

